plant_name,activity,date
Rose,Watering,2026-09-19
Tulip,Watering,2026-09-19
Lily,Watering,2026-09-19
Orchid,Watering,2026-09-19
Daisy,Watering,2026-09-19
Carnation,Watering,2026-09-19
Peony,Watering,2026-09-19
Jasmine,Watering,2026-09-19
Lavender,Watering,2026-09-19
Rose,Fertilizing,2026-09-18
Tulip,Fertilizing,2026-09-18
Lily,Fertilizing,2026-09-18
Sunflower,Fertilizing,2026-09-18
Jasmine,Fertilizing,2026-09-18
Lavender,Fertilizing,2026-09-19
Carnation,Fertilizing,2026-09-19
Rose,Repotting,2026-09-19
Tulip,Repotting,2026-09-19
Orchid,Repotting,2026-09-19
Sunflower,Repotting,2026-09-19
Daisy,Repotting,2026-09-19
Carnation,Repotting,2026-09-19
Peony,Repotting,2026-09-19
Jasmine,Repotting,2026-09-19
Lavender,Repotting,2026-09-19
Rose,Pruning,2026-09-20
Tulip,Pruning,2026-09-20
Lily,Pruning,2026-09-21
Orchid,Pruning,2026-09-22
Sunflower,Pruning,2026-09-22
Daisy,Pruning,2026-09-22
Jasmine,Pruning,2026-09-22
Rose,Watering,2026-09-18
azara,Fertilizing,2026-09-21
Monstera,Watering,2026-09-20
Rose,Watering,2026-09-20
Rose,Watering,2026-09-20
Rose,Watering,2026-09-20
Monstera,Watering,2026-09-21
Rose,Watering,2026-09-21
